# Engine event dates; generated by tools/ExportEngineEventDates.java.
# Holy days: 1980-2050; recurrences only outside captured years 2000-2030.
# Calculated dates, not official holiday declarations.
# columns=id,date
calculated:new_year_day	1980-01-01
sil	1980-01-02
sil	1980-01-10
sil	1980-01-17
sil	1980-01-25
calculated:meak_bochea	1980-02-01
sil	1980-02-01
sil	1980-02-09
calculated:valentine_day	1980-02-14
sil	1980-02-15
sil	1980-02-23
sil	1980-03-01
sil	1980-03-09
sil	1980-03-16
sil	1980-03-24
sil	1980-03-31
sil	1980-04-08
calculated:khmer_new_year_1	1980-04-13
calculated:khmer_new_year_2	1980-04-14
sil	1980-04-14
calculated:khmer_new_year_3	1980-04-15
sil	1980-04-22
calculated:visak_bochea	1980-04-29
sil	1980-04-29
calculated:royal_ploughing_ceremony	1980-05-03
sil	1980-05-07
sil	1980-05-14
sil	1980-05-22
sil	1980-05-29
sil	1980-06-06
sil	1980-06-12
sil	1980-06-20
sil	1980-06-27
sil	1980-07-05
sil	1980-07-12
calculated:buddhist_lent_candles_making_day	1980-07-20
sil	1980-07-20
calculated:the_ordained_dragon_monk	1980-07-26
sil	1980-07-27
calculated:beginning_buddhist_lent	1980-07-28
sil	1980-08-04
sil	1980-08-11
sil	1980-08-19
sil	1980-08-26
sil	1980-09-03
sil	1980-09-09
sil	1980-09-17
sil	1980-09-24
calculated:ben_1	1980-09-25
calculated:ben_2	1980-09-26
calculated:ben_3	1980-09-27
calculated:ben_4	1980-09-28
calculated:ben_5	1980-09-29
calculated:ben_6	1980-09-30
calculated:ben_7	1980-10-01
calculated:ben_8	1980-10-02
sil	1980-10-02
calculated:ben_9	1980-10-03
calculated:ben_10	1980-10-04
calculated:ben_11	1980-10-05
calculated:ben_12	1980-10-06
calculated:ben_13	1980-10-07
calculated:pchum_ben_festival	1980-10-08
calculated:pchum_ben_festival	1980-10-09
sil	1980-10-09
calculated:pchum_ben_festival	1980-10-10
sil	1980-10-17
calculated:ending_buddhist_lent	1980-10-24
sil	1980-10-24
calculated:kathen_kal	1980-10-25
sil	1980-11-01
sil	1980-11-07
sil	1980-11-15
calculated:water_festival	1980-11-21
calculated:water_festival	1980-11-22
sil	1980-11-22
calculated:water_festival	1980-11-23
sil	1980-11-30
sil	1980-12-07
sil	1980-12-15
sil	1980-12-22
calculated:christmas_day	1980-12-25
sil	1980-12-30
calculated:new_year_day	1981-01-01
sil	1981-01-05
sil	1981-01-13
sil	1981-01-20
sil	1981-01-28
sil	1981-02-04
sil	1981-02-12
calculated:valentine_day	1981-02-14
calculated:meak_bochea	1981-02-19
sil	1981-02-19
sil	1981-02-27
sil	1981-03-05
sil	1981-03-13
sil	1981-03-20
sil	1981-03-28
sil	1981-04-04
sil	1981-04-12
calculated:khmer_new_year_1	1981-04-13
calculated:khmer_new_year_2	1981-04-14
calculated:khmer_new_year_3	1981-04-15
sil	1981-04-19
sil	1981-04-27
sil	1981-05-03
sil	1981-05-11
calculated:visak_bochea	1981-05-18
