# Reviewed recurrence rules; generated by tools/build-recurring-events.py.
# id	titleKey	comparisonKey	type	month	day	waxing	offset	duration	fromYear	throughYear	anniversaryBase	monthPolicy
new_year_day	event.new_year_s_day.1b578c	event.new_year_s_day.1b578c	solar	1	1	False	0	1	1800	2200		
victory_over_genocide	event.victory_over_genocide_day.f4ab75	event.victory_over_genocide_day.f4ab75	solar	1	7	False	0	1	2000	2200	1979	
meak_bochea	event.meak_bochea.52e0e8	event.meak_bochea.52e0e8	khmer_lunar	2	15	True	0	1	1800	2200		
international_women_day	event.international_women_s_day.81b3fd	event.international_women_s_day.81b3fd	solar	3	8	False	0	1	2000	2200	1911	
khmer_new_year_1	event.calculated_new_year_first	event.khmer_new_year_moha_sankranta_at_time.fc662c	new_year_first	0	0	False	0	1	1800	2200		
khmer_new_year_2	event.khmer_new_year_veareak_vanabat.cc2d1f	event.khmer_new_year_veareak_vanabat.cc2d1f	new_year_middle	0	0	False	0	1	1800	2200		
khmer_new_year_3	event.khmer_new_year_veareak_laeung_sak.1b6528	event.khmer_new_year_veareak_laeung_sak.1b6528	new_year_last	0	0	False	0	1	1800	2200		
international_labor_day	event.international_labor_day.7090da	event.international_labor_day.7090da	solar	5	1	False	0	1	2000	2200	1886	
visak_bochea	event.visak_bochea.7e3881	event.visak_bochea.7e3881	khmer_lunar	5	15	True	0	1	1800	2200		
royal_ploughing_ceremony	event.royal_ploughing_ceremony.3679be	event.royal_ploughing_ceremony.3679be	khmer_lunar	5	4	False	0	1	1800	2200		
constitution_day	event.constitution_day.eed048	event.constitution_day.eed048	solar	9	24	False	0	1	2000	2200	1993	
pchum_ben_festival	event.pchum_ben_festival.6c3dd1	event.pchum_ben_festival.6c3dd1	khmer_lunar	9	15	False	-1	3	1800	2200		
water_festival	event.water_festival.2457d0	event.water_festival.2457d0	khmer_lunar	11	14	True	0	3	1800	2200		
independence_day	event.independence_day.991b45	event.independence_day.991b45	solar	11	9	False	0	1	2000	2200	1953	
beginning_buddhist_lent	event.beginning_of_buddhist_lent.05b5d9	event.beginning_of_buddhist_lent.05b5d9	khmer_lunar	7	1	False	0	1	1800	2200		ordinary_or_second_asadh
ending_buddhist_lent	event.ending_of_buddhist_lent.cfe1e4	event.ending_of_buddhist_lent.cfe1e4	khmer_lunar	10	15	True	0	1	1800	2200		
paris_peace_agreement	event.paris_peace_agreement_day.df33c1	event.paris_peace_agreement_day.df33c1	solar	10	23	False	0	1	2000	2200		
national_culture_day	event.national_culture_day.a654f6	event.national_culture_day.a654f6	solar	3	3	False	0	1	2000	2200	1998	
national_fish_day	event.national_fish_day.1fa511	event.national_fish_day.1fa511	solar	7	1	False	0	1	2001	2200		
arbor_day	event.arbor_day.b643a6	event.arbor_day.b643a6	solar	7	9	False	0	1	2000	2200		
national_population_day	event.national_population_day_and_world_population_day.766612	event.national_population_day_and_world_population_day.766612	solar	7	11	False	0	1	2000	2200		
international_children_day	event.international_children_s_day.472dd8	event.international_children_s_day.472dd8	solar	6	1	False	0	1	2000	2200	1949	
world_environment_day	event.national_and_world_environment_day.fd3953	event.national_and_world_environment_day.fd3953	solar	6	5	False	0	1	2000	2200	1996	
world_teachers_day	event.world_teacher_s_day.3ad087	event.world_teacher_s_day.3ad087	solar	10	5	False	0	1	2000	2200		
international_human_rights_day	event.international_human_rights_day.488db1	event.international_human_rights_day.488db1	solar	12	10	False	0	1	2000	2200	1948	
anti_human_trafficking_day	event.national_anti_human_trafficking_day.7a9493	event.national_anti_human_trafficking_day.7a9493	solar	12	12	False	0	1	2006	2200		
valentine_day	event.valentine_s_day.ceb81b	event.valentine_s_day.ceb81b	solar	2	14	False	0	1	1800	2200		
christmas_day	event.christmas_day.bbc2eb	event.christmas_day.bbc2eb	solar	12	25	False	0	1	1800	2200		
buddhist_lent_candles_making_day	event.buddhist_lent_candles_making_day.d79e76	event.buddhist_lent_candles_making_day.d79e76	khmer_lunar	7	8	True	0	1	1800	2200		ordinary_or_second_asadh
the_ordained_dragon_monk	event.the_ordained_dragon_monk.44dda5	event.the_ordained_dragon_monk.44dda5	khmer_lunar	7	14	True	0	1	1800	2200		ordinary_or_second_asadh
kathen_kal	event.kathen_kal.b6fb86	event.kathen_kal.b6fb86	khmer_lunar	10	1	False	0	1	1800	2200		
ben_1	event.ben_1.e38b39	event.ben_1.e38b39	khmer_lunar	9	1	False	0	1	1800	2200		
ben_2	event.ben_2.beb1a5	event.ben_2.beb1a5	khmer_lunar	9	2	False	0	1	1800	2200		
ben_3	event.ben_3.a36945	event.ben_3.a36945	khmer_lunar	9	3	False	0	1	1800	2200		
ben_4	event.ben_4.c8c3e3	event.ben_4.c8c3e3	khmer_lunar	9	4	False	0	1	1800	2200		
ben_5	event.ben_5.ee7326	event.ben_5.ee7326	khmer_lunar	9	5	False	0	1	1800	2200		
ben_6	event.ben_6.3d61f3	event.ben_6.3d61f3	khmer_lunar	9	6	False	0	1	1800	2200		
ben_7	event.ben_7.19ca30	event.ben_7.19ca30	khmer_lunar	9	7	False	0	1	1800	2200		
ben_8	event.ben_8.1250aa	event.ben_8.1250aa	khmer_lunar	9	8	False	0	1	1800	2200		
ben_9	event.ben_9.7d0f01	event.ben_9.7d0f01	khmer_lunar	9	9	False	0	1	1800	2200		
ben_10	event.ben_10.48eb08	event.ben_10.48eb08	khmer_lunar	9	10	False	0	1	1800	2200		
ben_11	event.ben_11.e9170d	event.ben_11.e9170d	khmer_lunar	9	11	False	0	1	1800	2200		
ben_12	event.ben_12.499d48	event.ben_12.499d48	khmer_lunar	9	12	False	0	1	1800	2200		
ben_13	event.ben_13.a5850f	event.ben_13.a5850f	khmer_lunar	9	13	False	0	1	1800	2200		
